,Parameter Settings,Name,Median (s),Minimum (s),Q1 (s),Q3 (s),Maximum (s),Range (max-min),Average (s),Standard Deviation,N (num samples)
0,"('4m', 'true', '200', '1', '1g', '1', '2', '1g', 'lz4', '0.6', '0.5', 'false', '48m', '128', 'true', '32k', 'true', '100', '1')",default,269.60217905044556,225.99747276306152,235.8122346997261,276.7212107181549,279.44624280929565,53.44877004623413,257.5513578414917,21.462761926490533,10
1,"('14m', 'false', '20', '3', '4g', '8', '8', '4g', 'snappy', '0.8', '0.7', 'true', '80m', '192', 'false', '48k', 'false', '50', '1')",hand_tuning1,199.9100638628006,153.88569927215576,160.7684851884842,219.51246982812881,229.0960352420807,75.21033596992493,192.0711695432663,29.550958135674392,10
2,"('24m', 'false', '60', '3', '4g', '3', '8', '7g', 'snappy', '0.5', '0.6', 'true', '72m', '224', 'false', '32k', 'false', '80', '1')",hand_tuning2,204.27836120128632,146.76216793060303,149.74011892080307,218.5145970582962,225.54301381111145,78.78084588050842,188.986252617836,33.37598353658496,10
3,"('6m', 'false', '60', '3', '4g', '3', '7', '1g', 'snappy', '0.6', '0.4', 'true', '64m', '192', 'true', '96k', 'true', '60', '1')",random_search,197.44512224197388,144.16184449195862,151.30917084217072,215.03570973873138,222.3676073551178,78.20576286315918,185.99513869285585,30.976048632885803,20
4,"('22m', 'true', '100', '3', '4g', '2', '5', '8g', 'snappy', '0.4', '0.5', 'false', '80m', '160', 'true', '32k', 'false', '120', '1')",random_forest1,210.72147703170776,147.0445728302002,155.88649195432663,220.81261867284775,227.1234791278839,80.07890629768372,192.56592378616332,32.77591808242217,10
5,"('6m', 'true', '300', '1', '2g', '6', '3', '7g', 'lz4', '0.7', '0.8', 'false', '56m', '160', 'true', '48k', 'true', '70', '1')",random_forest2,215.8125777244568,165.91347742080688,172.37957054376602,231.73001712560654,243.11940002441406,77.20592260360718,205.07846348285676,29.412772366286905,10
6,"('14m', 'true', '260', '4', '4g', '3', '6', '1g', 'snappy', '0.5', '0.5', 'false', '80m', '256', 'false', '96k', 'false', '120', '1')",random_forest3,219.8485608100891,153.5252513885498,159.13521337509155,233.24129784107208,240.00083827972412,86.47558689117432,200.8173923254013,35.718437487375,10
7,"('4m', 'false', '380', '2', '2g', '2', '7', '4g', 'snappy', '0.7', '0.3', 'true', '80m', '192', 'false', '112k', 'true', '70', '1')",random_forest4,199.10857617855072,164.88214492797852,176.77649599313736,233.5512535572052,244.5917203426361,79.70957541465759,203.53493764400483,30.413475493004448,10
8,"('24m', 'true', '180', '3', '3g', '5', '6', '4g', 'lz4', '0.7', '0.5', 'false', '88m', '160', 'true', '48k', 'true', '120', '1')",random_forest5,189.44289934635162,157.54501509666443,162.85795491933823,230.48236733675003,239.80089783668518,82.25588274002075,195.3434048175812,33.59142151795092,10
